dynamicProperties;occurrenceID;collectionID;catalogNumber;preparastions;recordedBy;identifiedBy;eventDate;country;stateProvince;county;locality;decimalLatitude;decimalLongitude;minimumElevationInMeters;scientificName;taxoank;individualCount;class;order;family;genus;SD;specificEpithet
Acreditación del origen del especímen;ID del registro biológico;Número RNC;Número de catálogo;Preparaciones;Nombre del colector;Identificado por;Fecha del evento;País;Departamento;Municipio;Localidad;Latitud decimal;Longitud decimal;Elevación mínima en metros;Nombre científico;Categoría del taxón;Número de individuos;Clase;Orden;Familia;Género;SD;Epíteto específico
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 01;94;M1.CA 01;Montaje en alfiler;A. Villan;SD;28/01/1999;Colombia;Quindío;Calarcá;SD;SD;SD;1490;Vortidae ;Familia;1;Insecta;Mantodea ;Vortidae ;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 02;94;M1.CA 02;Montaje en alfiler;Arroyave, Garcia, López;Arroyave, Garcia, López;02/05/2008;Colombia;Quindío;Armenia;SD;SD;SD;1500;Betilidae;Familia;1;Insecta;Mantodea ;Betilidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 03;94;M1.CA 03;Montaje en alfiler;Gómez W. Marin. O;Gómez W. Marin. O;05/27/2005;Colombia;Quindío;Armenia;Hojas anchas;SD;SD;1500;Choeradodis  SD;Familia;1;Insecta;Mantodea ;Vatidae;Choeradodis;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 04;94;M1.CA 04;Montaje en alfiler;Gallego M;Gallego M;11/05/2008;Colombia;Quindío;Armenia;SD;SD;SD;1480;Angela  SD;Familia;1;Insecta;Mantodea ;Thespidae;Angela;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 05;94;M1.CA 05;Montaje en alfiler;C.Castañeda, M.Fonseca,G.Guitiérrez;SD;21/05/1999;Colombia;Quindío;Armenia;SD;SD;SD;1450;Acanthopidae;Familia;1;Insecta;Mantodea ;Acanthopidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 06;94;M1.CA 06;Montaje en alfiler;P. Tellez;SD;00/10/1997;Colombia;Quindío;Armenia;SD;SD;SD;SD;Mantidae;Familia;1;Insecta;Mantodea ;Mantidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 07;94;M1.CA 07;Montaje en alfiler;E. Medina, A. Villán;SD;17/12/1997;Colombia;Quindío;Calarcá;SD;SD;SD;1490;Acanthopidae;Familia;1;Insecta;Mantodea ;Acanthopidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 08;94;M1.CA 08;Montaje en alfiler;C.Velasquez, C.García, A. Bedoya;SD;03/04/2007;Colombia;Quindío;Armenia;Puerto espejo;SD;SD;SD;Mantidae;Familia;1;Insecta;Mantodea ;Mantidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 09;94;M1.CA 09;Montaje en alfiler;Villegas;Gonzales, Barrero;21/05/2008;Colombia;Quindío;Armenia;SD;SD;SD;1483;Vatidae;Familia;1;Insecta;Mantodea ;Vatidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 10;94;M1.CA 10;Montaje en alfiler;G. Ramirez, P.  Luna;Méndez D.;00/07/1999;Colombia;Quindío;Armenia;SD;SD;SD;1580;Acanthopidae;Familia;1;Insecta;Mantodea ;Acanthopidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 11;94;M1.CA 11;Montaje en alfiler;M. Navarro;Méndez D.;03/09/1997;Colombia;Quindío;Armenia;SD;SD;SD;1500;Acanthopidae;Familia;1;Insecta;Mantodea ;Acanthopidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 12;94;M1.CA 12;Montaje en alfiler;L. Carvajal, M. Angulo;SD;18/03/2007;Colombia;Quindío;Armenia;SD;SD;SD;SD;Mantidae;Familia;1;Insecta;Mantodea ;Mantidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 13;94;M1.CA 13;Montaje en alfiler;Grupo de Artropodos;Lopez M, Méndez D.;00/00/2008;Colombia;Quindío;Armenia;SD;SD;SD;SD;Acanthopidae;Familia;1;Insecta;Mantodea ;Acanthopidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 14;94;M1.CA 14;Montaje en alfiler;Pareja-G;Perdomo-T, Pareja-G;18/04/2009;Colombia;Quindío;Armenia;SD;SD;SD;1483;Acanthopidae;Familia;1;Insecta;Mantodea ;Acanthopidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 15;94;M1.CA 15;Montaje en alfiler;González;Villegas, Herrera;09/05/2008;Colombia;Quindío;Quimbaya;SD;SD;SD;1100;Vatidae;Familia;1;Insecta;Mantodea ;Vatidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 16;94;M1.CA 16;Montaje en alfiler;SD;Taborda L.;06/10/2007;Colombia;Quindío;Quimbaya;SD;SD;SD;1162;Mantidae;Familia;1;Insecta;Mantodea ;Mantidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 17;94;M1.CA 17;Montaje en alfiler;Ruiz, Valencia,  Manjarrés;SD;30/04/2007;Colombia;Valle del Cauca;Alcalá;SD;SD;SD;SD;Mantidae;Familia;1;Insecta;Mantodea ;Mantidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 18;94;M1.CA 18;Montaje en alfiler;González;Barrero, González;18/03/2008;Colombia;Quindío;Armenia;SD;SD;SD;1483;Periplaneta  Americana;Especie;1;Insecta;Blattaria;Blattidae;Periplaneta;  ;Americana
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 19;94;M1.CA 19;Montaje en alfiler;Beltrán A.;SD;26/05/2005;Colombia;Quindío;Armenia;SD;SD;SD;1476;Blattidae;Familia;1;Insecta;Blattaria;Blattidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 20;94;M1.CA 20;Montaje en alfiler;J. Sossa, A. Puntero;Vargas R., Valencia H.;00/05/1999;Colombia;Quindío;Armenia;SD;SD;SD;1480;Periplaneta  Australiana;Especie;1;Insecta;Blattaria;Blattidae;Periplaneta;  ;Australiana
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 21;94;M1.CA 21;Montaje en alfiler;P. Luna, G. Ramirez;SD;27/05/1999;Colombia;Quindío;Armenia;SD;SD;SD;1580;Blattidae;Familia;1;Insecta;Blattaria;Blattidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 22;94;M1.CA 22;Montaje en alfiler;Gómez D.;Gómez D. , Cruz M.;26/04/2008;Colombia;Valle del Cauca;Caicedonia;SD;SD;SD;1230;Periplaneta  SD;Género;1;Insecta;Blattaria;Blattidae;Periplaneta;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 23;94;M1.CA 23;Montaje en alfiler;Herrera.;Barrero, Gonzalez.;09/04/2008;Colombia;Quindío;Armenia;SD;SD;SD;1483;Periplaneta  Americana;Especie;1;Insecta;Blattaria;Blattidae;Periplaneta;  ;Americana
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 24;94;M1.CA 24;Montaje en alfiler;F. Torres, C. Vargas;SD;09/09/1997;Colombia;Quindío;Calarcá;SD;SD;SD;1520;Blattidae;Familia;1;Insecta;Blattaria;Blattidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 25;94;M1.CA 25;Montaje en alfiler;L. Quintero J. Sala;SD;30/05/1995;Colombia;SD;SD;SD;SD;SD;SD;Blattidae;Familia;1;Insecta;Blattaria;Blattidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 26;94;M1.CA 26;Montaje en alfiler;Rios G.;SD;09/12/2006;Colombia;Valle del Cauca;Caicedonia;SD;SD;SD;1400;Blattidae;Familia;1;Insecta;Blattaria;Blattidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 27;94;M1.CA 27;Montaje en alfiler;Villegas;Barrero, Pineda;21/04/2008;Colombia;Quindío;Armenia;SD;SD;SD;1483;Periplaneta  Americana;Especie;1;Insecta;Blattaria;Blattidae;Periplaneta;  ;Americana
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 28;94;M1.CA 28;Montaje en alfiler;Medina, Villan;SD;SD;Colombia;Quindío;Armenia;SD;SD;SD;1450;Blattidae;Familia;1;Insecta;Blattaria;Blattidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 29;94;M1.CA 29;Montaje en alfiler;Bueno F.;SD;27/08/2006;Colombia;Quindío;Armenia;SD;SD;SD;1920;Blattidae;Familia;1;Insecta;Blattaria;Blattidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 30;94;M1.CA 30;Montaje en alfiler;C. Castañeda, M. Fonseca, G. Gutiérrez;SD;26/06/1999;Colombia;Quindío;La Tebaida;SD;SD;SD;1320;Blaberidae;Familia;1;Insecta;Blattaria;Blaberidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 31;94;M1.CA 31;Montaje en alfiler;Sanchez L.;SD;20/04/2006;Colombia;Quindío;Armenia;SD;SD;SD;SD;Blattidae;Familia;1;Insecta;Blattaria;Blattidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 32;94;M1.CA 32;Montaje en alfiler;López M., Méndez D.;López M, Méndez D.;17/07/2007;Colombia;Quindío;Armenia;SD;SD;SD;1480;Blaberidae;Familia;1;Insecta;Blattaria;Blaberidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 33;94;M1.CA 33;Montaje en alfiler;López M., Méndez D.;Gómez D. , Cruz M.;17/07/2007;Colombia;Quindío;Armenia;SD;SD;SD;1480;Blaberidae;Familia;1;Insecta;Blattaria;Blaberidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 34;94;M1.CA 34;Montaje en alfiler;Gómez W. Marin. O;Gómez W, Marin O.;15/05/2005;Colombia;Valle del Cauca;Buenaventura;SD;SD;SD;70;Blaberidae;Familia;1;Insecta;Blattaria;Blaberidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 35;94;M1.CA 35;Montaje en alfiler;J. Molina, F. Molano;SD;30/05/2003;Colombia;Choco;Acandi;SD;SD;SD;3;Blaberidae;Familia;1;Insecta;Blattaria;Blaberidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 36;94;M1.CA 36;Montaje en alfiler;SD;SD;31/08/1997;Colombia;Quindío;Armenia;SD;SD;SD;SD;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 37;94;M1.CA 37;Montaje en alfiler;Sánchez L.;Sánchez L.;00/03/2005;Colombia;Quindío;Armenia;SD;SD;SD;SD;Blattaria;Orden;1;Insecta;Blattaria;SD;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 38;94;M1.CA 38;Montaje en alfiler;Marin OH, Gómez WF.;Marin OH, Gómez WF.;26/02/2005;Colombia;Quindío;Circasia ;SD;SD;SD;1780;Blaberidae;Familia;1;Insecta;Blattaria;Blaberidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 39;94;M1.CA 39;Montaje en alfiler;López M., Méndez D.;López M, Méndez D.;10/05/2008;Colombia;Quindío;Quimbaya;SD;SD;SD;1100;Blaberidae;Familia;1;Insecta;Blattaria;Blaberidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 40;94;M1.CA 40;Montaje en alfiler;J. Molina, F. Molano;SD;SD;Colombia;Choco;Acandi;SD;SD;SD;3;Blattaria;Orden;1;Insecta;Blattaria;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 41;94;M1.CA 41;Montaje en alfiler;J. Molina, F. Molano;SD;30/05/2003;Colombia;Choco;Acandi;SD;SD;SD;3;Blaberidae;Familia;1;Insecta;Blattaria;Blaberidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 42;94;M1.CA 42;Montaje en alfiler;J. Molina, F. Molano;SD;SD;Colombia;Choco;Acandi;SD;SD;SD;3;Blaberidae;Familia;1;Insecta;Blattaria;Blaberidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 43;94;M1.CA 43;Montaje en alfiler;Elesalde. J.;SD;10/09/1997;Colombia;Quindío;Armenia;SD;SD;SD;1500;Blaberidae;Familia;1;Insecta;Blattaria;Blaberidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 44;94;M1.CA 44;Montaje en alfiler;Patiño L., Romero Z.;Romero Z., Patiño L.;18/03/2008;Colombia;Quindío;Córdoba;SD;SD;SD;1240; Parcoblatta  SD;Género;1;Insecta;Blattaria;Blaberidae; Parcoblatta;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 45;94;M1.CA 45;Montaje en alfiler;Romero Z.;Romero Z., Patiño L.;05/05/2008;Colombia;Valle del Cauca;Buenaventura;Istmo de Pichido ;SD;SD;10;Blatta  SD;Género;1;Insecta;Blattaria;Blattidae;Blatta;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 46;94;M1.CA 46;Montaje en alfiler;Herrera;Barrero, Herrera.;03/05/2008;Colombia;Quindío;La Tebaida;SD;SD;SD;1200;Blatella  Germanica;Especie;1;Insecta;Blattaria;Blattellidae;Blatella;  ;Germanica
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 47;94;M1.CA 47;Montaje en alfiler;M. Navarro;SD;21/08/1997;Colombia;Quindío;Armenia;SD;SD;SD;1500;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 48;94;M1.CA 48;Montaje en alfiler;SD;SD;SD;Colombia;Quindío;Armenia;SD;SD;SD;1400;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 49;94;M1.CA 49;Montaje en alfiler;G. Ramirez, P. Luna.;SD;25/04/1999;Colombia;Quindío;Pueblo tapao;SD;SD;SD;1300;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 50;94;M1.CA 50;Montaje en alfiler;J. Sollo, A. Quintero;J. Sollo, A. Quintero;24/04/1999;SD;SD;SD;SD;SD;SD;SD;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 51;94;M1.CA 51;Montaje en alfiler;SD;SD;17/11/1997;Colombia;Quindío;Armenia;SD;SD;SD;SD;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 52;94;M1.CA 52;Montaje en alfiler;Ospina D. y Toledo D.;Ospina  D.;20/04/2005;Colombia;Quindío;Armenia;Hojas anchas;SD;SD;1500;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 53;94;M1.CA 53;Montaje en alfiler;SD;SD;24/09/1997;Colombia;Quindío;Armenia;SD;SD;SD;1408;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 54;94;M1.CA 54;Montaje en alfiler;J.Molina, F. Molano ;F. Molano ;26-30/05/2003;Colombia;Choco;Acandi;SD;SD;SD;3;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 55;94;M1.CA 55;Montaje en alfiler;J.Molina, F. Molano ;F.Molano ;26-30/05/2003;Colombia;Choco;Acandi;SD;SD;SD;3;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 56;94;M1.CA 56;Montaje en alfiler;J.Molina, F. Molano ;F.Molano ;26-30/05/2003;Colombia;Choco;Acandi;SD;SD;SD;3;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 57;94;M1.CA 57;Montaje en alfiler;Herrera A, Lopez L. ;SD;10/28/2006;Colombia;Valle del Cauca;Buenaventura;SD;SD;SD;SD;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 58;94;M1.CA 58;Montaje en alfiler;SD;SD;SD;Colombia;Quindío;Circasia ;SD;SD;SD;1750;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 59;94;M1.CA 59;Montaje en alfiler;Bueno F.;Bueno F.;14/10/2006;Colombia;Quindío;Armenia;SD;SD;SD;1480;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 60;94;M1.CA 60;Montaje en alfiler;Romero - Z. ;Romero- z, Patiño- L;05/05/2008;Colombia;Valle del Cauca;Buenaventura;Istmo de Pichido;SD;SD;10;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 61;94;M1.CA 61;Montaje en alfiler;Romero - Z. ;Romero- z, Patiño- L;05/05/2008;Colombia;Valle del Cauca;Buenaventura;Istmo de Pichido;SD;SD;10;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 62;94;M1.CA 62;Montaje en alfiler;Arias H.L ;Arias H.L ;20/05/2008;Colombia;Quindío;Armenia;SD;SD;SD;1498;Blattaria;Orden;1;Insecta;Blattaria;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 63;94;M1.CA 63;Montaje en alfiler;Romero - Z. ;Romero- z, Patiño- L;03-05/05/2008;Colombia;Valle del Cauca;Buenaventura;Istmo de Pichido;SD;SD;10;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 64;94;M1.CA 64;Montaje en alfiler;Ramirez L, D ;Ramirez L, D;10/05/2005;Colombia;Quindío;Armenia;SD;SD;SD;1500;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 65;94;M1.CA 65;Montaje en alfiler;Arroyave, García, López;SD;10/05/2008;Colombia;Quindío;Armenia;SD;SD;SD;1500;Blattellidae;Familia;1;Insecta;Blattaria;Blattellidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 66;94;M1.CA 66;Montaje en alfiler;Castañeda, C., M. Fonseca, G.Gutiérrez ;SD;25/04/1999;Colombia;Quindío;Armenia;Vereda San Juan;SD;SD;1450;Forficulidae ;Familia;1;Insecta;Blattaria;Forficulidae ;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 67;94;M1.CA 67;Montaje en alfiler;SD;Luna.G. Ramirez;02/05/1999;Colombia;Quindío;Armenia;SD;SD;SD;1580;Forficulidae ;Familia;1;Insecta;Blattaria;Forficulidae ;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 68;94;M1.CA 68;Montaje en alfiler;Sanchéz L. ;SD;10/05/2005;Colombia;Quindío;Armenia;SD;SD;SD;SD;Dermaptera;Orden;1;Insecta;Dermaptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 69;94;M1.CA 69;Montaje en alfiler;Castañeda,C.,  M. Fonseca, G.Gutiérrez ;SD;17/05/1999;Colombia;Valle del Cauca;Sevilla ;SD;SD;SD;1620;Dermaptera;Orden;1;Insecta;Dermaptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 70;94;M1.CA 70;Montaje en alfiler;SD;SD;31/03/1999;Colombia;Valle del Cauca;Sevilla ;SD;SD;SD;SD;Forficulidae ;Familia;1;Insecta;Dermaptera;Forficulidae ;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 71;94;M1.CA 71;Montaje en alfiler;Herrera A, Lopez L;Herrera A, Lopez L;28/10/2006;Colombia;Valle del Cauca;Buenaventura;SD;SD;SD;SD;Forficulidae ;Familia;1;Insecta;Dermaptera;Forficulidae ;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 72;94;M1.CA 72;Montaje en alfiler;A. Quintero, J. Sossa;SD;10/04/1999;Colombia;Quindío;Armenia;SD;SD;SD;SD;Forficulidae ;Familia;1;Insecta;Dermaptera;Forficulidae ;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 73;94;M1.CA 73;Montaje en alfiler;E. Media, A, villán;SD;29/09/1997;Colombia;Quindío;Armenia;SD;SD;SD;1490;Forficulidae ;Familia;1;Insecta;Dermaptera;Forficulidae ;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 74;94;M1.CA 74;Montaje en alfiler;Barrero;SD;21/04/2008;Colombia;Quindío;Armenia;SD;SD;SD;1483;Dermaptera;Orden;1;Insecta;Dermaptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 75;94;M1.CA 75;Montaje en alfiler;Ramirez - P. Luna;SD;00/06/1999;Colombia;Quindío;Pueblo tapao;SD;SD;SD;1300;Forciculidae ;Familia;1;Insecta;Dermaptera;Forciculidae ;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 76;94;M1.CA 76;Montaje en alfiler;J.Sossa - A. Quintero;SD;00/05/1999;Colombia;Quindío;Calarcá;Santa Domingo;SD;SD;1650;Forficulidae ;Familia;1;Insecta;Dermaptera;Forficulidae ;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 77;94;M1.CA 77;Montaje en alfiler;SD;SD;00/09/1997;Colombia;Quindío;Armenia;SD;SD;SD;SD;Forficulidae ;Familia;1;Insecta;Dermaptera;Forficulidae ;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 78;94;M1.CA 78;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Forficulidae ;Familia;1;Insecta;Dermaptera;Forficulidae ;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 79;94;M1.CA 79;Montaje en alfiler;Ballego, C.,  A. Gonzales ;SD;19/06/1999;Colombia ;Quindío;Calarcá ;SD;SD;SD;1498;Forficulidae ;Familia;1;Insecta;Dermaptera;Forficulidae ;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 80;94;M1.CA 80;Montaje en alfiler;G.Ramirez, P. Luna ;SD;24/04/1999;Colombia ;Quindío;Quimbaya;SD;SD;SD;1450;Carcinophoridae;Familia;1;Insecta;Dermaptera;Carcinophoridae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 81;94;M1.CA 81;Montaje en alfiler;M.A.U.Q;SD;27/06/2003;Colombia ;Quindío;Quimbaya;SD;SD;SD;1100;Carcinophoridae;Familia;1;Insecta;Dermaptera;Carcinophoridae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 82;94;M1.CA 82;Montaje en alfiler;A. Giraldo;SD;06/07/2002;Colombia ;Quindío;Armenia;SD;SD;SD;1500;Labidae;Familia;1;Insecta;Dermaptera;Labidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 83;94;M1.CA 83;Montaje en alfiler;G.Ramirez, P. Luna ;SD;24/04/1999;Colombia ;Quindío;Quimbaya;SD;SD;SD;1450;Carcinophoridae;Familia;1;Insecta;Dermaptera;Carcinophoridae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 84;94;M1.CA 84;Montaje en alfiler;G.Ramirez, P. Luna ;SD;24/04/1999;Colombia ;Quindío;Quimbaya;SD;SD;SD;1450;Dermaptera;Orden;1;Insecta;Dermaptera;SD;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 85;94;M1.CA 85;Montaje en alfiler;M.A.U.Q;SD;23/08/2003;Colombia ;Quindío;Quimbaya;SD;SD;SD;1100;Dermaptera;Orden;1;Insecta;Dermaptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 86;94;M1.CA 86;Montaje en alfiler;J. Molina, F. Molano;F. Molano;26-30/05/2003;Colombia ;Choco;Acandí;SD;SD;SD;3;Pigidicranidae;Familia;1;Insecta;Dermaptera;Pigidicranidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 87;94;M1.CA 87;Montaje en alfiler;A. Giraldo;SD;06/07/2002;Colombia ;Quindío;Armenia;SD;SD;SD;1500;Dermaptera;Orden;1;Insecta;Dermaptera;SD;SD;  ;SD
