dynamicProperties;occurrenceID;collectionID;catalogNumber;preparastions;recordedBy;identifiedBy;eventDate;country;stateProvince;county;locality;decimalLatitude;decimalLongitude;minimumElevationInMeters;scientificName;taxoank;individualCount;class;order;family;genus;SD;specificEpithet
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 79;94;M8. CC. 79;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Insecta;Clase;1;Insecta;SD;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 80;94;M8. CC. 80;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Insecta;Clase;1;Insecta;SD;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 81;94;M8. CC. 81;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Insecta;Clase;1;Insecta;SD;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 82;94;M8. CC. 82;Montaje en alfiler;Delgado, Quintero y Zapata;Delgado, Quintero y Zapata;27/09/2008;Colombia;Quindio;Armenia;SD;SD;SD;1500;Muscidae;Familia;1;Insecta;Diptera;Muscidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 83;94;M8. CC. 83;Montaje en alfiler;R. Ramos;R. Ramos;20/10/2008;Colombia;Quindío;Armenia;SD;SD;SD;1483;Sepsidae;Familia;1;Insecta;Diptera;Sepsidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 84;94;M8. CC. 84;Montaje en alfiler;L. Delgado, M. Quintero, P. zapata;L. Delgado, M. Quintero, P. zapata;27/09/2008;Colombia;Quindío;Armenia;SD;SD;SD;1500;Muscidae;Familia;1;Insecta;Diptera;Muscidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 85;94;M8. CC. 85;Montaje en alfiler;L. Delgado, M. Quintero, P. Zapata;L. Delgado, M. Quintero, P. Zapata;27/09/2008;Colombia;Quindío;Armenia;SD;SD;SD;1500;Muscidae;Familia;1;Insecta;Diptera;Muscidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 86;94;M8. CC. 86;Montaje en alfiler;D. Arcos, S. Gonzáles, A. Sierra;D. Arcos, S. Gonzáles, A. Sierra;01/02/2008;Colombia;Quindío;Armenia;SD;SD;SD;SD;Tachinidae;Familia;1;Insecta;Diptera;Tachinidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 87;94;M8. CC. 87;Montaje en alfiler;O. Moreno, H. Taramuel;O. Moreno, H. Taramuel;22/10/2008;Colombia;Quindío;Tebaida;SD;SD;SD;SD;Colliphoridae;Familia;1;Insecta;Diptera;Colliphoridae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 88;94;M8. CC. 88;Montaje en alfiler;L. Delgado, M. Quintero, P. Zapata;L. Delgado, M. Quintero, P. Zapata;23/10/2008;Colombia;Quindío;Armenia;SD;SD;SD;SD;Tipulidae;Familia;1;Insecta;Diptera;Tipulidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 89;94;M8. CC. 89;Montaje en alfiler;L. Delgado, M. Quintero, P. Zapata;L. Delgado, M. Quintero, P. Zapata;15/09/2008;Colombia;Quindío;Circasia;SD;SD;SD;SD;Tipulidae;Familia;1;Insecta;Diptera;Tipulidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 90;94;M8. CC. 90;Montaje en alfiler;L. Delgado, M. Quintero, P. Zapata;L. Delgado, M. Quintero, P. Zapata;15/09/2008;Colombia;Quindío;Circasia;SD;SD;SD;SD;Tipulidae;Familia;1;Insecta;Diptera;Tipulidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 91;94;M8. CC. 91;Montaje en alfiler;L. Delgado, M. Quintero, P. Zapata;L. Delgado, M. Quintero, P. Zapata;14/09/2008;Colombia;Quindío;Armenia;SD;SD;SD;1500;Tipulidae;Familia;1;Insecta;Diptera;Tipulidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 92;94;M8. CC. 92;Montaje en alfiler;L. Delgado, M. Quintero, P. Zapata;L. Delgado, M. Quintero, P. Zapata;27/09/2008;Colombia;Quindío;Armenia;SD;SD;SD;1500;Tipulidae;Familia;1;Insecta;Diptera;Tipulidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 93;94;M8. CC. 93;Montaje en alfiler;SD;SD;03/17/97;Colombia;Quindio;Armenia;Jardin Botanico del Quindio;SD;SD;1490;Sciomyzidae;Familia;1;Insecta;Diptera;Sciomyzidae;SD;  ;SD
